productName,sku,lot,coaUrl,productId,pageUrl
DDB1/Cereblon (CRBN),SBB-SC0116,,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_5df502eb49114497811803ee7b5dc303.pdf,960c8fe3-df07-b417-71c2-4a08fb7c4ccf,https://www.south-bay-bio.com/product-page/ddb1-cereblon-crbn
"Europium-Cryptate Ubiquitin, human recombinant",SBB-TR0014,163060014,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_0cd9a098622d46e085f49d09ad0ed27a.pdf,eb6e6971-d32d-d773-d57d-8b3e3254cd30,https://www.south-bay-bio.com/product-page/europium-cryptate-ubiquitin-human-recombinant
"Europium-Cryptate Ubiquitin, human recombinant",SBB-TR0014,163060014,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_746f1452e7d14a23890b63d5ebb4527d.pdf,eb6e6971-d32d-d773-d57d-8b3e3254cd30,https://www.south-bay-bio.com/product-page/europium-cryptate-ubiquitin-human-recombinant
"Fluorescein-Ubiquitin (6-FAM-Ub), human recombinant",SBB-TR0016,163060016,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_ab73954cf878418aa720813aa6ce85ec.pdf,e4e2789d-5f45-f347-9667-5f6ab353e840,https://www.south-bay-bio.com/product-page/fluorescein-ubiquitin-6-fam-ub-human-recombinant
HA-Ubiquitin-Propargylamide,SBB-PS0124,190690124,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_ace8494eeb7340c48aa0e53d7b593abf.pdf,3a1e51fc-586f-ac5b-023e-c41e4d8d304c,https://www.south-bay-bio.com/product-page/ha-ubiquitin-propargylamide
HA-Ubiquitin-Vinyl Methyl Ester,SBB-PS0123,190690123,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_1d51380a08534504a5f58db48a3c83b1.pdf,5065a49d-e0dc-aea0-a22e-c1d6bb6e6c6b,https://www.south-bay-bio.com/product-page/ha-ubiquitin-vinyl-methyl-ester
HA-Ubiquitin-Vinyl Pentyl Sulfone,SBB-PS0125,190690125,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_7a690726b14340e89f4b5956435b3439.pdf,98142468-ed8a-6662-f560-12ca933c9bff,https://www.south-bay-bio.com/product-page/ha-ubiquitin-vinyl-pentyl-sulfone
HA-Ubiquitin-Vinyl Sulfone,SBB-PS0122,190690122,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_e73d645bbc714a1f9b6ce7b0ba9dc060.pdf,aa2f161e-e066-1272-e3bb-29145ee1a7b4,https://www.south-bay-bio.com/product-page/ha-ubiquitin-vinyl-sulfone
His10-SARS-CoV-2 (PLpro),SBB-DE0127,,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_0da6486e1d644036a36a0132f5db4de3.pdf,80105cde-11b2-3b97-2369-029e899b56ba,https://www.south-bay-bio.com/product-page/his10-sars-cov-2-plpro
His10-SARS-CoV-2 Mpro (3CLpro),SBB-DE0129,,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_95c1c77cb7294e618de3a0c32a5cd6fe.pdf,0d1dcdf6-ae33-fb4a-e6cd-2598c75a9d6b,https://www.south-bay-bio.com/product-page/his10-sars-cov-2-mpro-3clpro
