productName,sku,lot,coaUrl
"His6-NEDP1, human recombinant",SBB-DE0025,163060025,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_307a13389f6f424e8557348c45f33820.pdf
"His6-Poly-Ubiquitinated p53, human recombinant",SBB-US0012,163060012,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_e8a8d41ba85d414fafef68d2e028f633.pdf
"His6-SARS-CoV (PLpro), SARS Coronavirus recombinant",SBB-DE0024,163060024,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_ad13b9d3f2b94392bb84a58336c59a75.pdf
"His6-SENP1, human recombinant",SBB-DE0026,163060022,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_fa255b40420f40ceba4f9918a0213489.pdf
"His6-UBE2K, human recombinant",SBB-CE0022,163060022,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_49b64efe5eb14522921f21d9e35fc286.pdf
His8- Avi-DDB1-biotinylated,SBB-SC0140,243120140,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_1516621a715140d69cd4673701f7d91c.pdf
ISG15 Rhodamine 110,SBB-PS0002,163060002,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_c6d1c3e8bb0746cb86bb9d8e70485910.pdf
ITCH E3 Ligase TR-FRET Kit,SBB-KF0035,172440035,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_a4b7246893ec466ca5488278bd2bf49f.pdf
K11 Di-Ubiquitin,SBB-UP0063,181940063,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_dcf8ed91f56947ecb490cd52f3c1ee50.pdf
K11 Tetra-Ubiquitin,SBB-UP0064,181940064,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_089f888bcf774d6cbdddc6e8582cc1a0.pdf
K29 Di-Ubiquitin,SBB-UP0077,181940077,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_d0d479bf8d2b43e9b10b5331c3b45f6a.pdf
K29 Tetra-Ubiquitin,SBB-UP0078,181940078,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_3635dac666dc4c3891a8e9629ea0559e.pdf
K33 Di-Ubiquitin,SBB-UP0066,181940066,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_fab1bfa5a867455a9665608e59fde4e9.pdf
K33 Tetra-Ubiquitin,SBB-UP0067,181940067,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_161dfc9bc1934e83bb2aefaa4becae24.pdf
K48 Di-Ubiquitin,SBB-UP0069,181940069,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_3809018219d94a8aa4deb8c361996fdf.pdf
K48 Penta-Ubiquitin,SBB-UP0172,242470172,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_92b432205c5541228c1f0ebd3d87db15.pdf
K48 Tetra-Ubiquitin,SBB-UP0070,181940070,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_70c1eff8d64e45d9bbaf3daf617b2b7b.pdf
